CMDLINE /Library/Frameworks/Python.framework/Versions/3.11/bin/python3.11 server.py
MEM 32.691406 1692430316.8970
MEM 32.691406 1692430317.0014
MEM 32.691406 1692430317.1053
MEM 32.691406 1692430317.2093
MEM 32.691406 1692430317.3133
MEM 32.691406 1692430317.4167
MEM 32.691406 1692430317.5179
MEM 32.691406 1692430317.6221
MEM 32.691406 1692430317.7241
MEM 32.691406 1692430317.8275
MEM 32.691406 1692430317.9329
MEM 32.691406 1692430318.0379
MEM 32.691406 1692430318.1421
MEM 32.691406 1692430318.2475
MEM 32.691406 1692430318.3529
MEM 32.691406 1692430318.4574
MEM 32.691406 1692430318.5613
MEM 32.691406 1692430318.6653
MEM 32.691406 1692430318.7692
MEM 32.691406 1692430318.8733
MEM 32.691406 1692430318.9773
MEM 32.691406 1692430319.0813
MEM 32.691406 1692430319.1847
MEM 32.691406 1692430319.2893
MEM 32.691406 1692430319.3933
MEM 32.691406 1692430319.4973
MEM 32.691406 1692430319.6013
MEM 32.691406 1692430319.7053
MEM 32.691406 1692430319.8093
MEM 32.691406 1692430319.9134
MEM 32.691406 1692430320.0158
MEM 32.691406 1692430320.1207
MEM 32.691406 1692430320.2247
MEM 32.691406 1692430320.3290
MEM 32.691406 1692430320.4334
MEM 32.691406 1692430320.5376
MEM 32.691406 1692430320.6414
MEM 32.691406 1692430320.7469
MEM 32.691406 1692430320.8494
MEM 32.691406 1692430320.9533
MEM 32.691406 1692430321.0574
MEM 32.691406 1692430321.1610
MEM 32.691406 1692430321.2653
MEM 32.691406 1692430321.3693
MEM 32.691406 1692430321.4698
MEM 32.691406 1692430321.5741
MEM 32.691406 1692430321.6787
MEM 32.691406 1692430321.7829
MEM 32.691406 1692430321.8872
MEM 32.691406 1692430321.9917
MEM 32.691406 1692430322.0962
MEM 32.691406 1692430322.2005
MEM 32.691406 1692430322.3046
MEM 32.691406 1692430322.4092
MEM 32.691406 1692430322.5134
MEM 32.691406 1692430322.6173
MEM 32.691406 1692430322.7213
MEM 32.691406 1692430322.8253
MEM 32.691406 1692430322.9294
MEM 32.691406 1692430323.0330
MEM 32.691406 1692430323.1373
MEM 32.691406 1692430323.2424
MEM 32.691406 1692430323.3468
MEM 32.691406 1692430323.4473
MEM 32.691406 1692430323.5525
MEM 32.691406 1692430323.6578
MEM 32.691406 1692430323.7617
MEM 32.691406 1692430323.8639
MEM 32.691406 1692430323.9674
MEM 32.691406 1692430324.0717
MEM 32.691406 1692430324.1738
MEM 32.691406 1692430324.2773
MEM 32.691406 1692430324.3818
MEM 32.691406 1692430324.4872
MEM 32.691406 1692430324.5893
MEM 32.691406 1692430324.6942
MEM 32.691406 1692430324.7955
MEM 32.691406 1692430324.8973
MEM 32.691406 1692430325.0014
MEM 32.691406 1692430325.1055
MEM 32.691406 1692430325.2094
MEM 32.691406 1692430325.3126
MEM 32.691406 1692430325.4133
MEM 32.691406 1692430325.5179
MEM 32.691406 1692430325.6222
MEM 32.691406 1692430325.7271
MEM 32.691406 1692430325.8313
MEM 32.691406 1692430325.9353
MEM 32.691406 1692430326.0401
MEM 32.691406 1692430326.1448
MEM 32.691406 1692430326.2483
MEM 32.691406 1692430326.3527
MEM 32.691406 1692430326.4573
MEM 32.691406 1692430326.6011
MEM 32.691406 1692430326.7030
MEM 32.691406 1692430326.8035
MEM 32.691406 1692430326.9067
MEM 32.691406 1692430327.0120
MEM 32.691406 1692430327.1162
MEM 32.691406 1692430327.2208
MEM 32.691406 1692430327.3210
MEM 32.691406 1692430327.4215
MEM 32.691406 1692430327.5233
MEM 32.691406 1692430327.6280
MEM 32.691406 1692430327.7307
MEM 32.691406 1692430327.8314
MEM 32.691406 1692430327.9642
MEM 32.691406 1692430328.0650
MEM 32.691406 1692430328.1698
MEM 32.691406 1692430328.2730
MEM 32.691406 1692430328.3776
MEM 32.691406 1692430328.4820
MEM 32.691406 1692430328.5826
MEM 32.691406 1692430328.6877
MEM 32.691406 1692430328.7915
MEM 32.691406 1692430328.8961
MEM 32.691406 1692430329.0013
MEM 32.691406 1692430329.1049
MEM 32.691406 1692430329.2071
MEM 32.691406 1692430329.3121
MEM 32.691406 1692430329.4130
MEM 32.691406 1692430329.5165
MEM 32.691406 1692430329.6179
MEM 32.691406 1692430329.7225
MEM 32.691406 1692430329.8247
MEM 32.691406 1692430329.9282
MEM 32.691406 1692430330.0320
MEM 32.691406 1692430330.1332
MEM 32.691406 1692430330.2379
MEM 32.691406 1692430330.3383
MEM 32.691406 1692430330.4418
MEM 32.691406 1692430330.5455
MEM 32.691406 1692430330.6488
MEM 32.691406 1692430330.7542
MEM 32.691406 1692430330.8545
MEM 32.691406 1692430330.9558
MEM 32.691406 1692430331.0597
MEM 32.691406 1692430331.1606
MEM 32.691406 1692430331.2610
MEM 32.691406 1692430331.3643
MEM 32.691406 1692430331.4651
MEM 32.691406 1692430331.5661
MEM 32.691406 1692430331.6705
MEM 32.691406 1692430331.7719
MEM 32.691406 1692430331.8740
MEM 32.691406 1692430331.9792
MEM 32.691406 1692430332.0796
MEM 32.691406 1692430332.1799
MEM 32.691406 1692430332.2827
MEM 32.691406 1692430332.3842
MEM 32.691406 1692430332.4852
MEM 32.691406 1692430332.5861
MEM 32.691406 1692430332.6907
MEM 32.691406 1692430332.7939
MEM 32.691406 1692430332.8966
MEM 32.691406 1692430333.0020
MEM 32.691406 1692430333.1074
MEM 32.691406 1692430333.2087
MEM 32.691406 1692430333.3094
MEM 32.691406 1692430333.4141
MEM 32.691406 1692430333.5192
MEM 32.691406 1692430333.6209
MEM 32.691406 1692430333.7217
MEM 32.691406 1692430333.8245
MEM 32.691406 1692430333.9299
MEM 32.691406 1692430334.0324
MEM 32.691406 1692430334.1373
MEM 32.691406 1692430334.2417
MEM 32.691406 1692430334.3444
MEM 32.691406 1692430334.4458
MEM 32.691406 1692430334.5478
MEM 32.691406 1692430334.6502
MEM 32.691406 1692430334.7521
MEM 32.691406 1692430334.8563
MEM 32.691406 1692430334.9589
MEM 32.691406 1692430335.0601
MEM 32.691406 1692430335.1653
